mxCELL_ARRAY		mxCELL_CLASS 
mxCHARACTER_ARRAY	mxCHAR_CLASS
mxDOUBLE_ARRAY      mxDOUBLE_CLASS
mxFLOAT_ARRAY		mxSINGLE_CLASS
mxINT16_ARRAY		mxINT16_CLASS
mxINT32_ARRAY		mxINT32_CLASS
mxINT64_ARRAY		mxINT64_CLASS
mxINT8_ARRAY		mxINT8_CLASS
mxOBJECT_ARRAY 		mxOBJECT_CLASS
  					mxOPAQUE_CLASS
  					
mxSPARSE_ARRAY      mxSPARSE_CLASS
mxSTRUCTURE_ARRAY   mxSTRUCT_CLASS
mxUINT16_ARRAY      mxUINT16_CLASS
mxUINT32_ARRAY      mxUINT32_CLASS
mxUINT64_ARRAY      mxUINT64_CLASS
mxUINT8_ARRAY	    mxUINT8_CLASS
mxUNKNOWN_ARRAY     mxUNKNOWN_CLASS
	
